[0.000000] (-) TimerEvent: {}
[0.002545] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.002579] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.002738] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.002771] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.002801] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.002830] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.002861] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.002890] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.002920] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.002950] (-) JobUnselected: {'identifier': 'mtc_tutorial'}
[0.002980] (-) JobUnselected: {'identifier': 'panda_moveit_config'}
[0.003010] (-) JobUnselected: {'identifier': 'pick_ik'}
[0.003040] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.003071] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.003103] (-) JobUnselected: {'identifier': 'plan_around_obj'}
[0.003133] (-) JobUnselected: {'identifier': 'robot_description'}
[0.003163] (-) JobUnselected: {'identifier': 'robotiq_controllers'}
[0.003196] (-) JobUnselected: {'identifier': 'robotiq_description'}
[0.003225] (-) JobUnselected: {'identifier': 'robotiq_driver'}
[0.003255] (-) JobUnselected: {'identifier': 'robotiq_hardware_tests'}
[0.003285] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.003315] (-) JobUnselected: {'identifier': 'rviz_visual_tools'}
[0.003363] (-) JobUnselected: {'identifier': 'serial'}
[0.003394] (-) JobUnselected: {'identifier': 'yolov8_msgs'}
[0.003498] (-) JobUnselected: {'identifier': 'yolov8_obb'}
[0.003824] (-) EventReactorShutdown: {}
